Project,FilePath,UsedDirectCompile,UsedTransitiveCompile,UsedInheritedDirectCompile,UsedInheritedTransitiveCompile,UsedDirectNonCompile,UsedTransitiveNonCompile,UsedInheritedDirectNonCompile,UsedInheritedTransitiveNonCompile,UnusedDirectCompile,UnusedTransitiveCompile,UnusedInheritedDirectCompile,UnusedInheritedTransitiveCompile,UnusedDirectNonCompile,UnusedTransitiveNonCompile,UnusedInheritedDirectNonCompile,UnusedInheritedTransitiveNonCompile,DirectChartCompile,TransitiveChartCompile,InheritedDirectChartCompile,InheritedTransitiveChartCompile,DirectChartNonCompile,TransitiveChartNonCompile,InheritedDirectChartNonCompile,InheritedTransitiveChartNonCompile
auto_common,results/auto_common/depclean/depclean.log,2,5,0,0,4,4,1,0,0,1,0,0,0,1,0,0,\ChartSmall{2}{2},\ChartSmall{5}{6},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{4}{4},\ChartSmall{4}{5},\ChartSmall{1}{1},\ChartSmall{0}{0}
tablesaw_json,results/tablesaw_json/depclean/depclean.log,3,6,0,0,2,18,0,0,0,0,0,0,0,2,0,0,\ChartSmall{3}{3},\ChartSmall{6}{6},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{2}{2},\ChartSmall{18}{20},\ChartSmall{0}{0},\ChartSmall{0}{0}
commons-pool,results/commons-pool/depclean/depclean.log,1,0,0,0,0,3,0,0,1,3,0,0,2,11,0,0,\ChartSmall{1}{2},\ChartSmall{0}{3},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{2},\ChartSmall{3}{14},\ChartSmall{0}{0},\ChartSmall{0}{0}
commons-validator,results/commons-validator/depclean/depclean.log,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,\ChartSmall{4}{4},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{3}{3},\ChartSmall{0}{1},\ChartSmall{0}{0},\ChartSmall{0}{0}
checkstyle,results/checkstyle/depclean/depclean.log,7,8,0,0,10,19,0,0,0,2,0,0,5,6,0,0,\ChartSmall{7}{7},\ChartSmall{8}{10},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{10}{15},\ChartSmall{19}{25},\ChartSmall{0}{0},\ChartSmall{0}{0}
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/depclean/depclean.log,3,56,0,0,9,66,1,0,9,11,0,0,3,14,0,0,\ChartSmall{3}{12},\ChartSmall{56}{67},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{9}{12},\ChartSmall{66}{80},\ChartSmall{1}{1},\ChartSmall{0}{0}
nifi_nifi-bootstrap,results/nifi_nifi-bootstrap/depclean/depclean.log,12,29,0,0,5,3,5,5,0,3,0,0,2,21,3,3,\ChartSmall{12}{12},\ChartSmall{29}{32},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{5}{7},\ChartSmall{3}{24},\ChartSmall{5}{8},\ChartSmall{5}{8}
jooby,results/jooby/jooby/depclean/depclean.log,13,7,0,0,5,13,0,0,1,1,0,0,4,24,0,0,\ChartSmall{13}{14},\ChartSmall{7}{8},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{5}{9},\ChartSmall{13}{37},\ChartSmall{0}{0},\ChartSmall{0}{0}
rultor,results/rultor/depclean/depclean.log,32,39,1,0,20,40,1,0,0,5,0,0,5,21,0,0,\ChartSmall{32}{32},\ChartSmall{39}{44},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{20}{25},\ChartSmall{40}{61},\ChartSmall{1}{1},\ChartSmall{0}{0}
mybatis-3,results/mybatis-3/depclean/depclean.log,7,1,0,0,16,28,0,0,0,0,0,0,4,8,0,0,\ChartSmall{7}{7},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{16}{20},\ChartSmall{28}{36},\ChartSmall{0}{0},\ChartSmall{0}{0}
woodstox,results/woodstox/depclean/depclean.log,4,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0,\ChartSmall{4}{4},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{3}{3},\ChartSmall{1}{3},\ChartSmall{0}{0},\ChartSmall{0}{0}
para_para-core,results/para_para-core/depclean/depclean.log,30,23,0,0,0,0,0,0,12,8,0,0,0,0,2,4,\ChartSmall{30}{42},\ChartSmall{23}{31},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{2},\ChartSmall{0}{4}
error-prone_core,results/error-prone_core/depclean/depclean.log,12,6,0,0,33,18,0,0,0,2,0,0,2,9,0,0,\ChartSmall{12}{12},\ChartSmall{6}{8},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{33}{35},\ChartSmall{18}{27},\ChartSmall{0}{0},\ChartSmall{0}{0}
lanterna_native-integration,results/lanterna_native-integration/depclean/depclean.log,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\ChartSmall{2}{2},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0}
pdfbox_pdfbox,results/pdfbox_pdfbox/depclean/depclean.log,4,2,0,0,3,10,0,0,1,0,0,0,3,0,0,0,\ChartSmall{4}{5},\ChartSmall{2}{2},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{3}{6},\ChartSmall{10}{10},\ChartSmall{0}{0},\ChartSmall{0}{0}
jacop,results/jacop/depclean/depclean.log,3,1,0,0,1,1,0,0,2,3,0,0,0,0,0,0,\ChartSmall{3}{5},\ChartSmall{1}{4},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{1}{1},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{0}{0}
undertow_core,results/undertow_core/depclean/depclean.log,3,2,0,0,11,7,0,0,0,0,0,0,3,2,0,0,\ChartSmall{3}{3},\ChartSmall{2}{2},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{11}{14},\ChartSmall{7}{9},\ChartSmall{0}{0},\ChartSmall{0}{0}
httpcomponents-client_httpclient5,results/httpcomponents-client_httpclient5/depclean/depclean.log,5,0,0,0,6,12,0,0,0,0,0,0,1,0,0,0,\ChartSmall{5}{5},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{6}{7},\ChartSmall{12}{12},\ChartSmall{0}{0},\ChartSmall{0}{0}
jcabi-github,results/jcabi-github/depclean/depclean.log,10,7,0,0,18,12,1,3,0,3,0,0,6,16,1,0,\ChartSmall{10}{10},\ChartSmall{7}{10},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{18}{24},\ChartSmall{12}{28},\ChartSmall{1}{2},\ChartSmall{3}{3}
javaparser_javaparser-symbol-solver-core,results/javaparser_javaparser-symbol-solver-core/depclean/depclean.log,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,\ChartSmall{3}{3},\ChartSmall{5}{6},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0}
qart4j,results/qart4j/depclean/depclean.log,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,\ChartSmall{6}{6},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0}
redisson_redisson,results/redisson_redisson/depclean/depclean.log,21,6,0,0,35,36,0,0,1,0,0,0,2,7,0,0,\ChartSmall{21}{22},\ChartSmall{6}{6},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{35}{37},\ChartSmall{36}{43},\ChartSmall{0}{0},\ChartSmall{0}{0}
spoon,results/spoon/depclean/depclean.log,9,9,0,0,7,9,6,8,0,5,0,0,0,1,0,0,\ChartSmall{9}{9},\ChartSmall{9}{14},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{7}{7},\ChartSmall{9}{10},\ChartSmall{6}{6},\ChartSmall{8}{8}
gson_metrics,results/gson_metrics/depclean/depclean.log,3,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,\ChartSmall{3}{3},\ChartSmall{23}{33},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0}
vertx-unit,results/vertx-unit/depclean/depclean.log,2,15,0,0,2,0,1,0,0,0,0,0,0,0,0,0,\ChartSmall{2}{2},\ChartSmall{15}{15},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{2}{2},\ChartSmall{0}{0},\ChartSmall{1}{1},\ChartSmall{0}{0}
flink_flink-java,results/flink_flink-java/depclean/depclean.log,4,8,2,1,1,0,3,2,0,0,1,0,0,8,9,14,\ChartSmall{4}{4},\ChartSmall{8}{8},\ChartSmall{2}{3},\ChartSmall{1}{1},\ChartSmall{1}{1},\ChartSmall{0}{8},\ChartSmall{3}{12},\ChartSmall{2}{16}
spark,results/spark/depclean/depclean.log,5,9,0,0,9,12,0,0,0,0,0,0,0,0,0,0,\ChartSmall{5}{5},\ChartSmall{9}{9},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{9}{9},\ChartSmall{12}{12},\ChartSmall{0}{0},\ChartSmall{0}{0}
shiro_core,results/shiro_core/depclean/depclean.log,7,2,0,0,1,0,2,0,0,2,0,0,3,1,4,10,\ChartSmall{7}{7},\ChartSmall{2}{4},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{1}{4},\ChartSmall{0}{1},\ChartSmall{2}{6},\ChartSmall{0}{10}
java-faker,results/java-faker/depclean/depclean.log,3,1,0,0,7,6,0,0,0,0,0,0,0,4,0,0,\ChartSmall{3}{3},\ChartSmall{1}{1},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{7}{7},\ChartSmall{6}{10},\ChartSmall{0}{0},\ChartSmall{0}{0}
tika_tika-core,results/tika_tika-core/depclean/depclean.log,2,0,0,0,7,16,0,0,0,0,0,0,2,5,0,0,\ChartSmall{2}{2},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{0}{0},\ChartSmall{7}{9},\ChartSmall{16}{21},\ChartSmall{0}{0},\ChartSmall{0}{0}
