Project,Dependency,FilePath,Size
error-prone,dataflow-errorprone-3.24.0.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/dataflow-errorprone-3.24.0.jar,1085942
error-prone,auto-service-annotations-1.0.1.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/auto-service-annotations-1.0.1.jar,3174
error-prone,checker-qual-3.12.0.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/checker-qual-3.12.0.jar,208835
error-prone,error_prone_type_annotations-2.16.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/error_prone_type_annotations-2.16.jar,3085
error-prone,java-diff-utils-4.0.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/java-diff-utils-4.0.jar,45911
error-prone,error_prone_check_api-2.16.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/error_prone_check_api-2.16.jar,675490
error-prone,pcollections-3.1.4.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/pcollections-3.1.4.jar,38864
error-prone,org.eclipse.jgit-4.4.1.201607150455-r.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/org.eclipse.jgit-4.4.1.201607150455-r.jar,2362777
error-prone,failureaccess-1.0.1.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/failureaccess-1.0.1.jar,4617
error-prone,software-and-algorithms-1.0.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/software-and-algorithms-1.0.jar,63927
error-prone,error_prone_annotation-2.16.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/error_prone_annotation-2.16.jar,7695
error-prone,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,2199
error-prone,auto-value-annotations-1.9.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/auto-value-annotations-1.9.jar,7495
error-prone,caffeine-3.0.5.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/caffeine-3.0.5.jar,713881
error-prone,error_prone_annotations-2.16.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/error_prone_annotations-2.16.jar,16016
error-prone,j2objc-annotations-1.3.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/j2objc-annotations-1.3.jar,8781
error-prone,auto-common-1.2.1.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/auto-common-1.2.1.jar,111326
error-prone,protobuf-java-3.19.2.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/protobuf-java-3.19.2.jar,1681866
error-prone,guava-31.0.1-jre.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/guava-31.0.1-jre.jar,2974216
error-prone,jsr305-3.0.2.jar,results/error-prone/core/original/compile-scope-dependencies/dependency/jsr305-3.0.2.jar,19936
commons-pool,asm-analysis-9.2.jar,results/commons-pool/original/compile-scope-dependencies/dependency/asm-analysis-9.2.jar,34257
commons-pool,asm-tree-9.2.jar,results/commons-pool/original/compile-scope-dependencies/dependency/asm-tree-9.2.jar,52660
commons-pool,asm-7.1.jar,results/commons-pool/original/compile-scope-dependencies/dependency/asm-7.1.jar,114762
commons-pool,asm-util-9.2.jar,results/commons-pool/original/compile-scope-dependencies/dependency/asm-util-9.2.jar,84854
commons-pool,cglib-3.3.0.jar,results/commons-pool/original/compile-scope-dependencies/dependency/cglib-3.3.0.jar,306864
checkstyle,commons-logging-1.2.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/commons-logging-1.2.jar,61829
checkstyle,Saxon-HE-11.4.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/Saxon-HE-11.4.jar,5109857
checkstyle,slf4j-api-1.7.32.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/slf4j-api-1.7.32.jar,41513
checkstyle,picocli-4.7.0.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/picocli-4.7.0.jar,412761
checkstyle,javassist-3.28.0-GA.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/javassist-3.28.0-GA.jar,851531
checkstyle,error_prone_annotations-2.11.0.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/error_prone_annotations-2.11.0.jar,15979
checkstyle,reflections-0.10.2.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/reflections-0.10.2.jar,130398
checkstyle,failureaccess-1.0.1.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/failureaccess-1.0.1.jar,4617
checkstyle,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,2199
checkstyle,commons-collections-3.2.2.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/commons-collections-3.2.2.jar,588337
checkstyle,commons-codec-1.15.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/commons-codec-1.15.jar,353793
checkstyle,httpcore5-5.1.3.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/httpcore5-5.1.3.jar,850808
checkstyle,xmlresolver-4.4.3-data.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/xmlresolver-4.4.3-data.jar,1027769
checkstyle,xmlresolver-4.4.3.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/xmlresolver-4.4.3.jar,152670
checkstyle,j2objc-annotations-1.3.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/j2objc-annotations-1.3.jar,8781
checkstyle,commons-beanutils-1.9.4.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/commons-beanutils-1.9.4.jar,246918
checkstyle,httpclient5-5.1.3.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/httpclient5-5.1.3.jar,797934
checkstyle,guava-31.1-jre.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/guava-31.1-jre.jar,2959479
checkstyle,jsr305-3.0.2.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/jsr305-3.0.2.jar,19936
checkstyle,checker-qual-3.27.0.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/checker-qual-3.27.0.jar,223549
checkstyle,antlr4-runtime-4.11.1.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/antlr4-runtime-4.11.1.jar,324039
checkstyle,httpcore5-h2-5.1.3.jar,results/checkstyle/checkstyle/original/compile-scope-dependencies/dependency/httpcore5-h2-5.1.3.jar,232137
pdfbox,commons-logging-1.2.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/commons-logging-1.2.jar,61829
pdfbox,fontbox-2.0.27.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/fontbox-2.0.27.jar,1567313
pdfbox,bcmail-jdk15on-1.70.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/bcmail-jdk15on-1.70.jar,112697
pdfbox,bcutil-jdk15on-1.70.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/bcutil-jdk15on-1.70.jar,482530
pdfbox,bcpkix-jdk15on-1.70.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/bcpkix-jdk15on-1.70.jar,963713
pdfbox,bcprov-jdk15on-1.70.jar,results/pdfbox/pdfbox/original/compile-scope-dependencies/dependency/bcprov-jdk15on-1.70.jar,5867298
jooby,slf4j-api-1.7.36.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/slf4j-api-1.7.36.jar,41125
jooby,commons-io-2.11.0.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/commons-io-2.11.0.jar,327135
jooby,asm-analysis-9.3.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/asm-analysis-9.3.jar,34276
jooby,config-1.4.2.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/config-1.4.2.jar,295444
jooby,asm-tree-9.3.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/asm-tree-9.3.jar,52669
jooby,kotlinx-coroutines-core-1.6.2.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlinx-coroutines-core-1.6.2.jar,169978
jooby,annotations-13.0.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/annotations-13.0.jar,17536
jooby,asm-9.3.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/asm-9.3.jar,122176
jooby,kotlin-reflect-1.6.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlin-reflect-1.6.21.jar,3058829
jooby,kotlinx-coroutines-core-jvm-1.6.2.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlinx-coroutines-core-jvm-1.6.2.jar,1476417
jooby,kotlin-stdlib-common-1.6.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlin-stdlib-common-1.6.21.jar,200631
jooby,reactive-streams-1.0.3.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/reactive-streams-1.0.3.jar,11369
jooby,rxjava-2.2.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/rxjava-2.2.21.jar,2356379
jooby,kotlin-stdlib-1.6.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlin-stdlib-1.6.21.jar,1509405
jooby,reactor-core-3.4.18.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/reactor-core-3.4.18.jar,1696982
jooby,bucket4j-core-6.4.1.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/bucket4j-core-6.4.1.jar,121845
jooby,kotlin-stdlib-jdk8-1.6.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlin-stdlib-jdk8-1.6.21.jar,17772
jooby,asm-util-9.3.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/asm-util-9.3.jar,85682
jooby,unbescape-1.1.6.RELEASE.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/unbescape-1.1.6.RELEASE.jar,173935
jooby,jsr305-3.0.2.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/jsr305-3.0.2.jar,19936
jooby,kotlin-stdlib-jdk7-1.6.21.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/kotlin-stdlib-jdk7-1.6.21.jar,23898
jooby,javax.inject-1.jar,results/jooby/jooby/original/compile-scope-dependencies/dependency/javax.inject-1.jar,2497
auto,javapoet-1.13.0.jar,results/auto/common/original/compile-scope-dependencies/dependency/javapoet-1.13.0.jar,106068
auto,checker-qual-3.12.0.jar,results/auto/common/original/compile-scope-dependencies/dependency/checker-qual-3.12.0.jar,208835
auto,error_prone_annotations-2.11.0.jar,results/auto/common/original/compile-scope-dependencies/dependency/error_prone_annotations-2.11.0.jar,15979
auto,failureaccess-1.0.1.jar,results/auto/common/original/compile-scope-dependencies/dependency/failureaccess-1.0.1.jar,4617
auto,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,results/auto/common/original/compile-scope-dependencies/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,2199
auto,j2objc-annotations-1.3.jar,results/auto/common/original/compile-scope-dependencies/dependency/j2objc-annotations-1.3.jar,8781
auto,guava-31.1-jre.jar,results/auto/common/original/compile-scope-dependencies/dependency/guava-31.1-jre.jar,2959479
auto,jsr305-3.0.2.jar,results/auto/common/original/compile-scope-dependencies/dependency/jsr305-3.0.2.jar,19936
mybatis-3,javassist-3.29.2-GA.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/javassist-3.29.2-GA.jar,794137
mybatis-3,commons-logging-1.2.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/commons-logging-1.2.jar,61829
mybatis-3,reload4j-1.2.22.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/reload4j-1.2.22.jar,332398
mybatis-3,slf4j-api-2.0.1.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/slf4j-api-2.0.1.jar,61388
mybatis-3,asm-7.1.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/asm-7.1.jar,114762
mybatis-3,cglib-3.3.0.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/cglib-3.3.0.jar,306864
mybatis-3,log4j-api-2.19.0.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/log4j-api-2.19.0.jar,317566
mybatis-3,ognl-3.3.4.jar,results/mybatis-3/original/compile-scope-dependencies/dependency/ognl-3.3.4.jar,264823
woodstox,xsdlib-2013.6.1.jar,results/woodstox/original/compile-scope-dependencies/dependency/xsdlib-2013.6.1.jar,230631
woodstox,stax2-api-4.2.1.jar,results/woodstox/original/compile-scope-dependencies/dependency/stax2-api-4.2.1.jar,195909
woodstox,isorelax-20090621.jar,results/woodstox/original/compile-scope-dependencies/dependency/isorelax-20090621.jar,64787
woodstox,relaxngDatatype-20020414.jar,results/woodstox/original/compile-scope-dependencies/dependency/relaxngDatatype-20020414.jar,19255
woodstox,msv-core-2013.6.1.jar,results/woodstox/original/compile-scope-dependencies/dependency/msv-core-2013.6.1.jar,698977
undertow,wildfly-client-config-1.0.1.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/wildfly-client-config-1.0.1.Final.jar,47396
undertow,xnio-nio-3.8.7.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/xnio-nio-3.8.7.Final.jar,111413
undertow,xnio-api-3.8.7.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/xnio-api-3.8.7.Final.jar,584824
undertow,wildfly-common-1.5.4.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/wildfly-common-1.5.4.Final.jar,284642
undertow,jboss-logging-3.4.1.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/jboss-logging-3.4.1.Final.jar,60790
undertow,jboss-threads-3.1.0.Final.jar,results/undertow/core/original/compile-scope-dependencies/dependency/jboss-threads-3.1.0.Final.jar,96032
tika-core,commons-io-2.11.0.jar,results/tika-core/original/compile-scope-dependencies/dependency/commons-io-2.11.0.jar,327135
tika-core,slf4j-api-2.0.3.jar,results/tika-core/original/compile-scope-dependencies/dependency/slf4j-api-2.0.3.jar,61409
tablesaw,commons-lang3-3.9.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/commons-lang3-3.9.jar,503880
tablesaw,commons-text-1.8.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/commons-text-1.8.jar,207030
tablesaw,json-flattener-0.8.1.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/json-flattener-0.8.1.jar,28899
tablesaw,jackson-core-2.13.2.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/jackson-core-2.13.2.jar,374739
tablesaw,minimal-json-0.9.5.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/minimal-json-0.9.5.jar,34221
tablesaw,json-base-1.0.0.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/json-base-1.0.0.jar,22342
tablesaw,jackson-databind-2.13.2.1.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/jackson-databind-2.13.2.1.jar,1534977
tablesaw,jackson-datatype-jsr310-2.13.2.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/jackson-datatype-jsr310-2.13.2.jar,121204
tablesaw,jackson-annotations-2.13.2.jar,results/tablesaw/json/original/compile-scope-dependencies/dependency/jackson-annotations-2.13.2.jar,75717
jacop,jansi-1.12.jar,results/jacop/original/compile-scope-dependencies/dependency/jansi-1.12.jar,151757
jacop,slf4j-log4j12-1.7.24.jar,results/jacop/original/compile-scope-dependencies/dependency/slf4j-log4j12-1.7.24.jar,12242
jacop,slf4j-api-1.7.24.jar,results/jacop/original/compile-scope-dependencies/dependency/slf4j-api-1.7.24.jar,41205
jacop,log4j-1.2.17.jar,results/jacop/original/compile-scope-dependencies/dependency/log4j-1.2.17.jar,489884
jacop,scala-library-2.13.1.jar,results/jacop/original/compile-scope-dependencies/dependency/scala-library-2.13.1.jar,5721063
jacop,scala-reflect-2.13.1.jar,results/jacop/original/compile-scope-dependencies/dependency/scala-reflect-2.13.1.jar,3607717
jacop,jline-2.14.6.jar,results/jacop/original/compile-scope-dependencies/dependency/jline-2.14.6.jar,268780
jacop,mockito-all-1.10.19.jar,results/jacop/original/compile-scope-dependencies/dependency/mockito-all-1.10.19.jar,1234599
jacop,scala-compiler-2.13.1.jar,results/jacop/original/compile-scope-dependencies/dependency/scala-compiler-2.13.1.jar,10654794
spoon,slf4j-api-1.7.36.jar,results/spoon/original/compile-scope-dependencies/dependency/slf4j-api-1.7.36.jar,41125
spoon,commons-io-2.11.0.jar,results/spoon/original/compile-scope-dependencies/dependency/commons-io-2.11.0.jar,327135
spoon,plexus-utils-3.0.24.jar,results/spoon/original/compile-scope-dependencies/dependency/plexus-utils-3.0.24.jar,247351
spoon,jsap-2.1.jar,results/spoon/original/compile-scope-dependencies/dependency/jsap-2.1.jar,69344
spoon,maven-api-model-4.0.0-alpha-2.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-api-model-4.0.0-alpha-2.jar,220528
spoon,jackson-core-2.13.4.jar,results/spoon/original/compile-scope-dependencies/dependency/jackson-core-2.13.4.jar,374895
spoon,plexus-component-annotations-1.5.5.jar,results/spoon/original/compile-scope-dependencies/dependency/plexus-component-annotations-1.5.5.jar,4211
spoon,javax.annotation-api-1.2.jar,results/spoon/original/compile-scope-dependencies/dependency/javax.annotation-api-1.2.jar,26366
spoon,maven-api-meta-4.0.0-alpha-2.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-api-meta-4.0.0-alpha-2.jar,11499
spoon,maven-api-xml-4.0.0-alpha-2.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-api-xml-4.0.0-alpha-2.jar,8308
spoon,maven-xml-impl-4.0.0-alpha-2.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-xml-impl-4.0.0-alpha-2.jar,28467
spoon,maven-invoker-3.2.0.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-invoker-3.2.0.jar,32618
spoon,commons-compress-1.21.jar,results/spoon/original/compile-scope-dependencies/dependency/commons-compress-1.21.jar,1018316
spoon,jackson-annotations-2.13.4.jar,results/spoon/original/compile-scope-dependencies/dependency/jackson-annotations-2.13.4.jar,75717
spoon,org.eclipse.sisu.inject-0.3.5.jar,results/spoon/original/compile-scope-dependencies/dependency/org.eclipse.sisu.inject-0.3.5.jar,379348
